Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
SedimentvOTU188,0,0,0,0,0,0,86.81744423,0,0,0,0,0,42.79206258,0,39.07973821,55.73079653,107.6209705
SedimentvOTU189,0,0,0,0,0,0,0,0,0,0,0,0,56.84295344,0,45.80234757,66.42296274,102.656519
SedimentvOTU190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.79804385,93.56463286
SedimentvOTU191,0,0,0,0,0,0,0,0,0,0,0,0,242.3359596,169.4589895,226.4374839,353.9465572,103.023905
SedimentvOTU192,0,0,0,0,0,0,0,0,0,0,0,0,67.35174642,44.17384174,63.05392177,70.97019342,95.08712218
SedimentvOTU193,0,0,0,0,0,0,0,0,0,0,0,0,61.52655134,39.68799477,67.72757625,85.20007342,121.8269839
SedimentvOTU194,0,0,0,0,0,0,0,0,0,0,0,0,77.80485983,0,59.93976618,65.39643604,116.534257
SedimentvOTU195,0,0,0,0,0,0,0,0,0,0,0,0,92.67310227,84.52533639,136.72389,150.7185506,144.1694211
SedimentvOTU196,0,0,54.40123449,48.13655589,0,0,0,0,0,0,0,0,64.79224321,46.90717741,80.78581061,92.81544104,122.648738
SedimentvOTU197,0,0,0,0,0,0,68.06052064,51.62378621,0,0,0,0,45.13851862,0,0,36.96574153,134.9060036
SedimentvOTU198,0,0,0,0,0,0,0,0,0,0,0,0,43.93356447,0,79.93833113,59.32235012,159.2432227
SedimentvOTU199,0,0,0,0,0,0,0,0,0,0,0,0,164.4629446,167.0845752,186.5152514,304.3990467,203.5813348
SedimentvOTU200,0,0,0,0,0,0,0,0,0,0,0,0,447.3483437,273.0296093,376.9420162,520.3865408,778.6163752
SedimentvOTU201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.54028571,66.00078088
SedimentvOTU202,0,0,0,0,0,0,0,0,0,0,0,0,125.4266623,94.61366809,137.1702948,141.3923634,324.2636462
